p1		0.105	10.701	10.596	T
p1		18.332	18.677	0.345	B
p1		25.647	27.307	1.66	B
p1		30.04	30.302	0.262	B
p1		31.594	32.922	1.328	T
p1		34.189	36.629	2.44	T
p1		37.556	54.89	17.334	T
p1		55.32	57.409	2.089	L
p1		63.306	63.734	0.428	B
p1		65.302	65.508	0.206	B
p1		68.464	68.77	0.306	B
p1		72.775	73.007	0.232	B
p1		76.815	77.107	0.292	B
p1		78.376	80.741	2.365	T
p1		81.89	82.623	0.733	B
p1		86.081	89.125	3.044	T
p1		92.685	106.727	14.042	T
p1		109.649	110.11	0.461	B
p1		110.461	111.795	1.334	T
p1		113.767	119.6	5.833	T
p1		122.706	123.182	0.476	T
p1		125.515	129.538	4.023	T
p1		129.97	130.13	0.16	B
p1		130.594	133.338	2.744	T
p1		135.976	136.388	0.412	B
p1		138.23	139.884	1.654	T
p1		140.199	141.16	0.961	T
p1		142.524	144.547	2.023	T
p1		145.72	146.315	0.595	T
p1		147.455	147.687	0.232	B
p1		149.179	150.405	1.226	T
p1		151.61	152.127	0.517	B
p1		154.501	164.21	9.709	T
p1		164.21	166.58	2.37	L
p1		166.958	171.639	4.681	T
p1		173.634	183.234	9.6	T
p1		186.38	186.704	0.324	B
p1		186.835	187.082	0.247	B
p1		187.527	187.965	0.438	B
p1		197.67	199.348	1.678	T
p1		199.5	199.941	0.441	B
p1		203.489	203.808	0.319	B
p1		209.118	210.035	0.917	T
p1		214.423	217.029	2.606	T
p1		218.041	218.265	0.224	B
p1		219.323	220.74	1.417	T
p1		229.937	230.348	0.411	B
p1		232.153	232.452	0.299	B
p1		233.35	233.572	0.222	B
p1		233.95	234.95	1.0	T
p1		236.709	258.049	21.34	T
p1		259.43	274.622	15.192	T
p1		275.575	275.926	0.351	B
p1		280.735	281.427	0.692	B
p1		281.82	282.399	0.579	B
p1		284.265	284.574	0.309	B
p1		286.584	286.81	0.226	B
p1		290.435	290.724	0.289	B
p1		297.422	297.87	0.448	B
p1		300.057	300.395	0.338	B
p1		303.409	303.762	0.353	B
p1		309.38	310.569	1.189	T
p1		310.594	311.416	0.822	L
p1		313.073	313.447	0.374	B
p1		314.987	315.315	0.328	B
p1		315.707	336.748	21.041	T
p1		336.748	337.56	0.812	L
p1		338.54	339.967	1.427	T
p1		340.619	342.711	2.092	T
p1		345.844	346.048	0.204	B
p1		348.18	348.578	0.398	B
p1		349.271	349.724	0.453	B
p1		351.76	352.03	0.27	B
p1		357.048	357.268	0.22	B
p1		364.889	365.064	0.175	B
p1		366.205	366.516	0.311	B
p1		368.194	368.797	0.603	T
p1		372.926	373.544	0.618	B
p1		375.994	376.366	0.372	B
p1		377.048	377.819	0.771	T
p1		378.43	379.25	0.82	L
p1		380.296	380.578	0.282	B
p1		381.167	382.69	1.523	T
p1		385.415	385.631	0.216	B
p1		387.865	388.125	0.26	B
p1		393.935	394.194	0.259	B
p1		395.316	395.618	0.302	B
p1		398.9	402.91	4.01	T
p1		403.32	405.06	1.74	L
p1		405.77	406.109	0.339	B
p1		413.08	414.233	1.153	B
p1		414.492	418.114	3.622	T
p1		421.035	421.316	0.281	B
p1		425.47	425.748	0.278	B
p1		426.994	427.219	0.225	B
p1		431.07	431.419	0.349	B
p1		432.93	434.437	1.507	T
p1		435.389	437.043	1.654	T
p1		438.8	439.88	1.08	T
p1		443.872	444.166	0.294	B
p1		446.149	446.482	0.333	B
p1		448.66	448.84	0.18	B
p1		449.355	449.575	0.22	B
p1		450.42	451.585	1.165	B
p1		452.554	452.844	0.29	B
p1		459.364	460.165	0.801	B
p1		465.616	465.915	0.299	B
p1		469.985	470.266	0.281	B
p1		474.29	474.613	0.323	B
p1		475.84	476.141	0.301	B
p1		486.659	488.416	1.757	T
p1		488.93	491.36	2.43	L
p1		495.571	495.817	0.246	B
p1		496.051	497.242	1.191	T
p1		498.223	500.395	2.172	T
p1		502.07	502.342	0.272	B
p1		502.803	503.074	0.271	B
p1		506.866	507.28	0.414	B
p1		507.835	508.147	0.312	B
p1		517.856	518.185	0.329	B
p1		524.409	528.089	3.68	T
p1		531.566	531.832	0.266	B
p1		532.333	532.549	0.216	B
p1		532.789	534.491	1.702	L
p1		538.144	538.456	0.312	B
p1		544.376	544.77	0.394	B
p1		550.732	551.089	0.357	B
p1		558.453	558.83	0.377	B
p1		568.622	569.644	1.022	B
p2		0.01	0.63	0.62	T
p2		4.677	4.821	0.144	B
p2		11.304	31.194	19.89	T
p2		31.199	32.266	1.067	L
p2		33.164	34.087	0.923	T
p2		36.29	37.194	0.904	T
p2		41.393	41.633	0.24	B
p2		45.334	45.782	0.448	B
p2		47.067	47.276	0.209	B
p2		50.69	51.38	0.69	L
p2		51.823	52.669	0.846	B
p2		54.943	78.84	23.897	T
p2		80.995	86.281	5.286	T
p2		89.297	92.177	2.88	T
p2		94.663	94.797	0.134	B
p2		97.507	97.807	0.3	B
p2		103.159	103.327	0.168	T
p2		106.775	110.91	4.135	T
p2		113.484	115.254	1.77	L
p2		117.98	119.082	1.102	B
p2		119.68	121.64	1.96	T
p2		123.343	123.865	0.522	T
p2		124.61	125.645	1.035	T
p2		127.846	128.073	0.227	B
p2		129.454	129.787	0.333	B
p2		130.048	131.163	1.115	B
p2		131.786	138.632	6.846	T
p2		139.276	139.774	0.498	B
p2		144.649	145.567	0.918	T
p2		146.069	146.203	0.134	B
p2		146.363	147.221	0.858	T
p2		147.982	149.021	1.039	T
p2		150.68	151.463	0.783	B
p2		152.099	154.236	2.137	T
p2		155.919	156.08	0.161	T
p2		157.985	158.277	0.292	B
p2		158.987	159.639	0.652	B
p2		160.783	161.16	0.377	B
p2		162.248	163.141	0.893	T
p2		164.245	165.968	1.723	T
p2		166.364	166.9	0.536	L
p2		169.134	169.832	0.698	B
p2		170.637	171.247	0.61	B
p2		172.034	173.233	1.199	T
p2		174.136	174.423	0.287	B
p2		176.049	176.148	0.099	B
p2		177.812	178.552	0.74	B
p2		179.17	180.277	1.107	L
p2		180.569	180.922	0.353	B
p2		181.359	181.712	0.353	B
p2		183.537	198.421	14.884	T
p2		199.205	208.83	9.625	T
p2		210.19	214.246	4.056	T
p2		215.04	215.804	0.764	T
p2		216.069	216.368	0.299	B
p2		217.348	218.908	1.56	T
p2		220.027	234.669	14.642	T
p2		235.202	236.455	1.253	T
p2		241.288	241.469	0.181	B
p2		248.018	248.192	0.174	B
p2		249.191	249.359	0.168	B
p2		252.038	252.359	0.321	B
p2		253.93	254.306	0.376	B
p2		255.967	256.131	0.164	B
p2		258.202	258.832	0.63	T
p2		258.843	259.655	0.812	L
p2		260.29	260.82	0.53	B
p2		266.726	267.082	0.356	B
p2		268.118	268.519	0.401	B
p2		272.086	272.641	0.555	T
p2		273.372	274.324	0.952	T
p2		274.743	275.907	1.164	T
p2		276.43	276.78	0.35	B
p2		277.32	316.305	38.985	T
p2		317.142	317.367	0.225	B
p2		322.742	322.896	0.154	B
p2		328.705	328.882	0.177	B
p2		330.886	331.121	0.235	B
p2		334.483	334.6	0.117	B
p2		336.784	338.317	1.533	T
p2		338.789	338.943	0.154	B
p2		339.626	339.852	0.226	B
p2		342.864	365.891	23.027	T
p2		366.243	366.382	0.139	B
p2		366.72	366.871	0.151	B
p2		367.198	368.796	1.598	T
p2		369.741	377.565	7.824	T
p2		377.81	381.26	3.45	T
p2		381.763	382.398	0.635	T
p2		382.917	399.638	16.721	T
p2		400.66	400.803	0.143	B
p2		403.086	414.48	11.394	T
p2		418.253	433.84	15.587	T
p2		434.804	435.468	0.664	T
p2		437.197	438.46	1.263	T
p2		438.497	439.2	0.703	L
p2		439.69	487.409	47.719	T
p2		487.475	487.789	0.314	B
p2		488.638	495.75	7.112	T
p2		496.034	496.178	0.144	B
p2		497.495	498.362	0.867	T
p2		500.19	524.834	24.644	T
p2		528.188	568.77	40.582	T
p2		569.37	570.0	0.63	T
